# ========
# Ratio-margin	01 percent
city_year	p0	p1	p2	p3	
c2_t1	3.20943e+08	6.38795e+07	7.47829e+09	1.08116e+08
c3_t0	7.2251e+08	9.34316e+07	1.54799e+10	5.63838e+08
c3_t1	8.09056e+08	9.56852e+07	1.48927e+10	4.12914e+08
c4_t0	3.18898e+08	1.04551e+08	8.56448e+09	1.06978e+08
c4_t1	3.26456e+08	9.62536e+07	8.49388e+09	6.53117e+07
c5_t0	5.62365e+08	8.73435e+07	9.77001e+09	5.03208e+07
c5_t1	4.10794e+08	8.73811e+07	1.13964e+10	1.21466e+08
c6_t0	1.02683e+09	1.11448e+08	1.68178e+10	1.64267e+08
c6_t1	1.09308e+09	1.03172e+08	1.93351e+10	1.03172e+08
# ========
# Ratio-margin	14 percent
city_year	p0	p1	p2	p3	
c0_t0	1.15763e+09	1.0423e+08	1.4478e+10	3.40978e+08
c0_t1	9.95862e+08	1.16885e+08	1.61069e+10	3.91652e+08
c1_t0	1.17045e+09	1.33926e+08	1.68868e+10	1.4942e+08
c1_t1	1.16778e+09	1.90527e+08	1.90435e+10	1.39907e+08
c2_t0	3.99345e+08	5.46506e+07	7.46552e+09	1.32084e+08
c2_t1	3.20943e+08	6.38795e+07	7.47829e+09	1.08116e+08
c3_t0	7.2251e+08	9.34316e+07	1.53441e+10	5.58892e+08
c3_t1	8.09056e+08	9.56852e+07	1.47621e+10	4.09292e+08
c4_t0	3.18898e+08	1.04551e+08	8.48936e+09	1.0604e+08
c4_t1	3.26456e+08	9.62536e+07	8.49445e+09	6.47387e+07
c5_t0	5.62365e+08	8.73435e+07	9.68431e+09	5.03208e+07
c5_t1	4.10794e+08	8.73811e+07	1.13964e+10	1.21466e+08
c6_t0	1.02683e+09	1.11448e+08	1.68178e+10	1.64267e+08
c6_t1	1.09308e+09	1.03172e+08	1.93351e+10	1.03172e+08
# ========
# Ratio-margin	15 percent
city_year	p0	p1	p2	p3	
c0_t0	1.15763e+09	1.0423e+08	1.43521e+10	3.38013e+08
c0_t1	9.95862e+08	1.16885e+08	1.59668e+10	3.88247e+08
c1_t0	1.17045e+09	1.33926e+08	1.674e+10	1.48121e+08
c1_t1	1.16778e+09	1.90527e+08	1.88779e+10	1.38691e+08
c2_t0	3.99345e+08	5.46506e+07	7.4006e+09	1.30936e+08
c2_t1	3.20943e+08	6.38795e+07	7.47829e+09	1.08116e+08
c3_t0	7.2251e+08	9.34316e+07	1.52107e+10	5.54032e+08
c3_t1	8.09056e+08	9.56852e+07	1.46337e+10	4.05733e+08
c4_t0	3.18898e+08	1.04551e+08	8.41554e+09	1.05118e+08
c4_t1	3.26456e+08	9.62536e+07	8.49501e+09	6.41758e+07
c5_t0	5.62365e+08	8.73435e+07	9.6001e+09	5.03208e+07
c5_t1	4.10794e+08	8.73811e+07	1.13964e+10	1.21466e+08
c6_t0	1.02683e+09	1.11448e+08	1.68178e+10	1.64267e+08
c6_t1	1.09308e+09	1.03172e+08	1.93351e+10	1.03172e+08
# ========
# Ratio-margin	16 percent
city_year	p0	p1	p2	p3	
c0_t0	1.69308e+08	1.0423e+08	1.497e+10	3.35099e+08
c0_t1	1.45648e+08	1.16885e+08	1.65932e+10	3.849e+08
c1_t0	1.71182e+08	1.33926e+08	1.74608e+10	1.46844e+08
c1_t1	1.70793e+08	1.90527e+08	1.96185e+10	1.37495e+08
c2_t0	5.84056e+07	5.46506e+07	7.71925e+09	1.29807e+08
c2_t1	4.6939e+07	6.38795e+07	7.7672e+09	9.32033e+07
c3_t0	1.0567e+08	9.34316e+07	1.58656e+10	5.49256e+08
c3_t1	1.18327e+08	9.56852e+07	1.52078e+10	4.02235e+08
c4_t0	4.66399e+07	1.04551e+08	8.77788e+09	1.04212e+08
